plant_v,LDR,PH_value,VOC,Leaf_Temperature,Ambient_temperature,Nitrogen_N,phosphorus_P,potassium_K,Soil_Moisture,Scenario,Class
1.65,Bright,4.7,12 ppm,19.2C,16.1C,35,16,83,64,Normal monitoring,Nutrient Deficiency
1.66,Bright,4.4,35 ppm,37.1C,31.8C,61,33,166,74,Fungal infection,Disease
1.72,Dark,5.8,14 ppm,36.4C,34.3C,84,45,191,63,Normal monitoring,Healthy
1.63,Bright,4.2,42 ppm,41.6C,34.7C,67,32,199,79,Pest infection,Disease
1.72,Bright,4.1,45 ppm,35.7C,31.9C,61,39,161,76,Bacterial infection,Disease
1.7,Bright,6.5,11 ppm,34.4C,32.8C,80,36,206,68,Normal monitoring,Healthy
1.72,Dark,4.1,59 ppm,41.9C,38.9C,58,39,150,66,Viral infection,Disease
1.66,Dark,4.9,17 ppm,25.4C,24.6C,21,15,110,59,Normal monitoring,Nutrient Deficiency
1.66,Bright,5.4,12 ppm,22.5C,19.2C,22,10,103,57,Normal monitoring,Nutrient Deficiency
1.66,Dim,5.1,10 ppm,35.0C,31.9C,35,17,80,64,Normal monitoring,Nutrient Deficiency
1.61,Bright,6.0,15 ppm,20.8C,12.8C,47,16,127,16,Normal monitoring,Water Stress
1.68,Dim,5.8,12 ppm,37.2C,34.4C,80,35,211,64,Normal monitoring,Healthy
1.64,Dim,6.0,8 ppm,35.2C,34.8C,89,41,214,67,Normal monitoring,Healthy
1.6,Dim,5.8,21 ppm,25.1C,19.3C,43,17,129,27,Normal monitoring,Water Stress
1.68,Dim,5.1,11 ppm,23.5C,20.2C,37,16,109,59,Normal monitoring,Nutrient Deficiency
1.63,Dark,6.2,5 ppm,25.0C,23.0C,77,41,205,66,Normal monitoring,Healthy
1.63,Bright,5.9,18 ppm,30.8C,23.5C,49,28,105,18,Normal monitoring,Water Stress
1.62,Dim,3.8,64 ppm,40.0C,31.4C,70,32,163,82,Fungal infection,Disease
1.6,Bright,6.0,12 ppm,14.3C,14.9C,76,36,215,67,Normal monitoring,Healthy
1.66,Bright,5.4,15 ppm,26.0C,25.6C,25,14,117,64,Normal monitoring,Nutrient Deficiency
1.62,Bright,4.2,34 ppm,23.3C,18.2C,65,33,176,75,Pest infection,Disease
1.6,Dim,6.1,7 ppm,23.8C,23.9C,77,43,193,67,Normal monitoring,Healthy
1.6,Bright,5.8,18 ppm,40.8C,35.1C,48,21,99,19,Normal monitoring,Water Stress
1.6,Bright,5.5,15 ppm,34.6C,33.9C,27,13,109,56,Normal monitoring,Nutrient Deficiency
1.65,Bright,4.5,56 ppm,35.2C,30.9C,68,33,181,80,Fungal infection,Disease
1.68,Bright,6.1,7 ppm,27.3C,28.5C,81,46,211,60,Normal monitoring,Healthy
1.67,Dim,5.9,10 ppm,22.4C,23.8C,88,39,209,60,Normal monitoring,Healthy
1.67,Bright,6.1,8 ppm,14.7C,14.6C,78,48,190,69,Normal monitoring,Healthy
1.69,Bright,5.5,23 ppm,28.0C,21.5C,40,15,126,16,Normal monitoring,Water Stress
1.7,Dim,5.9,16 ppm,40.3C,33.1C,40,17,113,16,Normal monitoring,Water Stress
1.62,Bright,5.9,15 ppm,30.6C,24.0C,37,29,117,24,Normal monitoring,Water Stress
1.59,Bright,5.9,12 ppm,24.2C,22.6C,83,35,200,61,Normal monitoring,Healthy
1.67,Dim,5.8,20 ppm,19.3C,13.8C,38,19,117,13,Normal monitoring,Water Stress
1.64,Dim,6.2,14 ppm,21.1C,19.0C,85,37,211,64,Normal monitoring,Healthy
1.6,Dark,5.9,22 ppm,29.1C,22.1C,48,21,129,10,Normal monitoring,Water Stress
1.64,Bright,6.0,23 ppm,36.0C,28.4C,45,24,123,13,Normal monitoring,Water Stress
1.69,Bright,6.4,12 ppm,31.4C,28.8C,79,47,215,58,Normal monitoring,Healthy
1.64,Bright,5.6,24 ppm,22.4C,15.5C,48,28,90,25,Normal monitoring,Water Stress
1.63,Dim,4.8,11 ppm,28.6C,25.4C,23,13,90,54,Normal monitoring,Nutrient Deficiency
1.67,Bright,5.9,22 ppm,39.8C,33.8C,45,18,127,17,Normal monitoring,Water Stress
1.63,Bright,5.7,17 ppm,40.6C,33.3C,44,22,96,17,Normal monitoring,Water Stress
1.61,Bright,5.8,8 ppm,27.4C,28.3C,87,37,209,66,Normal monitoring,Healthy
1.65,Bright,5.1,18 ppm,16.5C,16.5C,37,12,87,56,Normal monitoring,Nutrient Deficiency
1.64,Dim,3.4,47 ppm,41.7C,33.6C,64,31,194,76,Bacterial infection,Disease
1.66,Dark,5.8,18 ppm,36.1C,28.8C,40,17,126,11,Normal monitoring,Water Stress
1.68,Bright,6.1,8 ppm,16.3C,17.9C,78,37,195,61,Normal monitoring,Healthy
1.65,Bright,5.5,15 ppm,41.3C,33.7C,39,23,105,15,Normal monitoring,Water Stress
1.68,Bright,5.9,22 ppm,20.2C,14.7C,49,18,127,23,Normal monitoring,Water Stress
1.69,Bright,5.8,23 ppm,41.2C,35.6C,41,29,124,26,Normal monitoring,Water Stress
1.61,Dim,5.9,15 ppm,32.0C,25.6C,41,29,108,12,Normal monitoring,Water Stress
1.69,Dim,3.5,51 ppm,40.6C,37.1C,63,28,199,83,Fungal infection,Disease
1.64,Bright,4.5,41 ppm,31.1C,25.3C,76,27,191,78,Pest infection,Disease
1.63,Dark,3.9,51 ppm,33.6C,29.5C,66,28,158,76,Fungal infection,Disease
1.67,Dark,4.0,64 ppm,36.4C,31.0C,73,37,150,74,Fungal infection,Disease
1.68,Bright,5.7,20 ppm,40.8C,34.5C,38,23,126,17,Normal monitoring,Water Stress
1.63,Dim,5.6,20 ppm,22.3C,15.9C,48,24,100,23,Normal monitoring,Water Stress
1.66,Bright,5.9,17 ppm,41.2C,33.9C,49,18,129,15,Normal monitoring,Water Stress
1.64,Bright,4.4,48 ppm,39.7C,31.9C,75,29,153,70,Fungal infection,Disease
1.59,Bright,5.8,20 ppm,32.1C,25.0C,47,29,118,12,Normal monitoring,Water Stress
1.59,Dim,5.6,15 ppm,41.1C,35.4C,45,17,101,29,Normal monitoring,Water Stress
1.63,Bright,3.3,36 ppm,17.9C,14.6C,74,36,196,78,Bacterial infection,Disease
1.63,Dim,4.0,58 ppm,25.9C,16.6C,78,38,168,77,Fungal infection,Disease
1.71,Dark,5.8,20 ppm,24.7C,18.4C,36,19,122,14,Normal monitoring,Water Stress
1.64,Dark,5.8,8 ppm,26.1C,27.7C,86,44,191,65,Normal monitoring,Healthy
1.66,Bright,4.0,32 ppm,41.2C,34.4C,77,39,157,67,Pest infection,Disease
1.64,Bright,5.1,13 ppm,37.0C,34.9C,26,13,101,54,Normal monitoring,Nutrient Deficiency
1.67,Bright,5.9,21 ppm,35.5C,29.2C,48,25,117,27,Normal monitoring,Water Stress
1.65,Bright,5.0,18 ppm,16.8C,15.4C,34,15,111,63,Normal monitoring,Nutrient Deficiency
1.68,Bright,6.3,8 ppm,39.0C,36.9C,89,37,208,58,Normal monitoring,Healthy
1.67,Bright,3.8,56 ppm,42.5C,32.8C,74,36,158,71,Pest infection,Disease
1.73,Dim,6.4,13 ppm,31.8C,30.0C,85,42,217,68,Normal monitoring,Healthy
1.62,Bright,4.1,50 ppm,34.3C,30.6C,56,31,130,74,Viral infection,Disease
1.7,Bright,6.5,7 ppm,21.0C,20.8C,80,47,195,55,Normal monitoring,Healthy
1.58,Dim,3.3,39 ppm,24.9C,16.8C,73,36,185,66,Bacterial infection,Disease
1.61,Dim,5.9,18 ppm,36.9C,29.7C,35,28,91,29,Normal monitoring,Water Stress
1.71,Dark,3.2,50 ppm,21.9C,13.3C,66,30,151,75,Bacterial infection,Disease
1.6,Bright,5.9,5 ppm,33.8C,35.0C,76,40,216,58,Normal monitoring,Healthy
1.68,Dim,5.8,19 ppm,24.5C,16.8C,37,28,96,25,Normal monitoring,Water Stress
1.66,Bright,5.9,22 ppm,31.5C,23.7C,36,26,101,20,Normal monitoring,Water Stress
1.7,Bright,5.9,11 ppm,20.2C,18.3C,87,37,193,61,Normal monitoring,Healthy
1.6,Bright,6.3,6 ppm,15.3C,15.2C,88,36,207,62,Normal monitoring,Healthy
1.62,Bright,3.3,57 ppm,19.1C,11.6C,68,34,177,79,Bacterial infection,Disease
1.69,Bright,5.8,20 ppm,21.9C,14.2C,47,18,104,10,Normal monitoring,Water Stress
1.64,Bright,5.9,15 ppm,40.7C,34.4C,49,23,123,20,Normal monitoring,Water Stress
1.68,Bright,5.8,15 ppm,32.0C,26.6C,44,29,113,19,Normal monitoring,Water Stress
